sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,133.7019,50,30,20,5136.844323,0.388972357,26.32487766,13558.5083
OAT_N,149.6608,50,30,20,5216.066447,0.412408005,26.66886724,13641.28304
OAT_N,130.0423,50,30,20,5118.677577,0.383598234,26.24599602,13539.52689
OAT_N,123.6061,50,30,20,5086.727416,0.374146673,26.10726554,13506.14396
OAT_N,133.1168,50,30,20,5133.939808,0.388113138,26.312266,13555.47353
OAT_N,141.6096,50,30,20,5176.099209,0.400584816,26.4953259,13599.52352
OAT_N,133.6987,50,30,20,5136.828438,0.388967658,26.32480869,13558.4917
OAT_N,140.6681,50,30,20,5171.425476,0.399202223,26.47503213,13594.6402
OAT_N,142.186,50,30,20,5178.960536,0.40143126,26.50775004,13602.51316
OAT_N,141.0437,50,30,20,5173.290005,0.399753792,26.48312809,13596.58834
OAT_N,141.7282,50,30,20,5176.687955,0.40075898,26.49788229,13600.13867
OAT_N,133.4182,50,30,20,5135.435999,0.388555744,26.31876259,13557.03682
OAT_N,147.6006,50,30,20,5205.839337,0.409382601,26.62446021,13630.59731
OAT_N,126.994,50,30,20,5103.545407,0.379121804,26.18029077,13523.71613
OAT_N,127.7337,50,30,20,5107.217377,0.380208054,26.1962348,13527.55277
OAT_N,131.0107,50,30,20,5123.484845,0.385020329,26.2668696,13544.54973
OAT_N,140.3803,50,30,20,5169.996798,0.398779589,26.46882869,13593.14746
OAT_N,131.6136,50,30,20,5126.477722,0.385905688,26.27986494,13547.67682
OAT_N,121.4704,50,30,20,5076.125514,0.371010397,26.06123113,13495.06663
OAT_N,125.2841,50,30,20,5095.057233,0.376610816,26.14343436,13514.84732
OAT_N,122.4993,50,30,20,5081.233112,0.372521337,26.08340878,13500.40327
OAT_N,138.3525,50,30,20,5159.930527,0.395801764,26.42512003,13582.62977
OAT_N,129.4183,50,30,20,5115.579958,0.38268189,26.23254587,13536.29036
OAT_N,123.3278,50,30,20,5085.345897,0.373737989,26.10126687,13504.70049
