sample_type,Manure_rate,Compost_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_Manure,7092.02,1500.0,5367.312741596821,0.14563381681587537,4.702575606193683,129.8748976342847
OAT_Manure,10114.54,1500.0,5374.389627609542,0.14563381681587537,5.6660035539416835,129.8748976342847
OAT_Manure,14344.67,1500.0,5384.293994769721,0.14563381681587537,7.014357068428683,129.8748976342847
OAT_Manure,12625.07,1500.0,5380.267747404122,0.14563381681587537,6.466234740388684,129.8748976342847
OAT_Manure,13372.84,1500.0,5382.018565613342,0.14563381681587537,6.704586353111685,129.8748976342847
OAT_Manure,10663.38,1500.0,5375.674673901781,0.14563381681587537,5.840946249057684,129.8748976342847
OAT_Manure,8037.97,1500.0,5369.527575683522,0.14563381681587537,5.004097074098683,129.8748976342847
OAT_Manure,7316.71,1500.0,5367.838827617162,0.14563381681587537,4.774195521224683,129.8748976342847
OAT_Manure,12552.52,1500.0,5380.097879849821,0.14563381681587537,6.4431094351436835,129.8748976342847
OAT_Manure,5821.31,1500.0,5364.337518992762,0.14563381681587537,4.297536920764683,129.8748976342847
OAT_Manure,8172.9,1500.0,5369.843498896501,0.14563381681587537,5.047105998105683,129.8748976342847
OAT_Manure,6982.93,1500.0,5367.057319798081,0.14563381681587537,4.667803179602683,129.8748976342847
OAT_Manure,6851.28,1500.0,5366.749076331182,0.14563381681587537,4.625839755267682,129.8748976342847
OAT_Manure,9406.19,1500.0,5372.7311068364415,0.14563381681587537,5.440217062276683,129.8748976342847
OAT_Manure,9656.74,1500.0,5373.317741098742,0.14563381681587537,5.520079849721682,129.8748976342847
OAT_Manure,10619.1,1500.0,5375.570997329701,0.14563381681587537,5.826832003485683,129.8748976342847
OAT_Manure,12650.48,1500.0,5380.327242022381,0.14563381681587537,6.474334175347683,129.8748976342847
OAT_Manure,13088.32,1500.0,5381.352394468621,0.14563381681587537,6.6138956315636825,129.8748976342847
OAT_Manure,11912.43,1500.0,5378.599182085081,0.14563381681587537,6.239080811652683,129.8748976342847
OAT_Manure,5360.0,1500.0,5363.2574142171015,0.14563381681587537,4.150494404395684,129.8748976342847
OAT_Manure,8903.81,1500.0,5371.554841337762,0.14563381681587537,5.280083487514684,129.8748976342847
OAT_Manure,7555.19,1500.0,5368.397201350442,0.14563381681587537,4.850210997376684,129.8748976342847
OAT_Manure,11050.99,1500.0,5376.582218529242,0.14563381681587537,5.964496897796684,129.8748976342847
OAT_Manure,9386.97,1500.0,5372.686105397522,0.14563381681587537,5.434090689198683,129.8748976342847
OAT_Manure,6842.28,1500.0,5366.728003857182,0.14563381681587537,4.622971006167684,129.8748976342847
OAT_Manure,9356.24,1500.0,5372.6141546057415,0.14563381681587537,5.424295504771683,129.8748976342847
OAT_Manure,12587.56,1500.0,5380.179922015262,0.14563381681587537,6.454278431639683,129.8748976342847
OAT_Manure,14640.13,1500.0,5384.985780677282,0.14563381681587537,7.108534913882684,129.8748976342847
OAT_Manure,13679.93,1500.0,5382.7375818400815,0.14563381681587537,6.802471259902683,129.8748976342847
OAT_Manure,13743.4,1500.0,5382.886189609501,0.14563381681587537,6.8227023160556834,129.8748976342847
OAT_Manure,10791.98,1500.0,5375.975776141382,0.14563381681587537,5.881937486197684,129.8748976342847
OAT_Manure,8565.05,1500.0,5370.761673416401,0.14563381681587537,5.172103771390683,129.8748976342847
OAT_Manure,10042.0,1500.0,5374.2197834691015,0.14563381681587537,5.642881436195683,129.8748976342847
OAT_Manure,5704.84,1500.0,5364.064817765341,0.14563381681587537,4.260412119911683,129.8748976342847
OAT_Manure,7114.84,1500.0,5367.366172025341,0.14563381681587537,4.709849478911683,129.8748976342847
OAT_Manure,5517.44,1500.0,5363.626042028942,0.14563381681587537,4.200678388651683,129.8748976342847
OAT_Manure,14762.43,1500.0,5385.272132185081,0.14563381681587537,7.147518026652683,129.8748976342847
OAT_Manure,6845.86,1500.0,5366.736386019062,0.14563381681587537,4.624112130809683,129.8748976342847
OAT_Manure,10951.76,1500.0,5376.349882796461,0.14563381681587537,5.932867345219683,129.8748976342847
OAT_Manure,7443.89,1500.0,5368.136605088642,0.14563381681587537,4.814734133506684,129.8748976342847
OAT_Manure,7748.47,1500.0,5368.849744436521,0.14563381681587537,4.911818978048683,129.8748976342847
OAT_Manure,7367.22,1500.0,5367.957091024022,0.14563381681587537,4.7902955786736845,129.8748976342847
OAT_Manure,8163.34,1500.0,5369.821115246342,0.14563381681587537,5.0440587490616835,129.8748976342847
OAT_Manure,11413.38,1500.0,5377.430713401782,0.14563381681587537,6.080008674057683,129.8748976342847
OAT_Manure,10275.46,1500.0,5374.766403444662,0.14563381681587537,5.717296787849683,129.8748976342847
OAT_Manure,10637.37,1500.0,5375.613774451922,0.14563381681587537,5.832655564158683,129.8748976342847
OAT_Manure,8758.9,1500.0,5371.215551092502,0.14563381681587537,5.2338934395056835,129.8748976342847
OAT_Manure,12748.38,1500.0,5380.556463711781,0.14563381681587537,6.505539790557683,129.8748976342847
OAT_Manure,9190.7,1500.0,5372.226561567302,0.14563381681587537,5.371529646325683,129.8748976342847
OAT_Manure,9118.42,1500.0,5372.057326187221,0.14563381681587537,5.348490403553683,129.8748976342847
OAT_Manure,10451.25,1500.0,5375.177995689602,0.14563381681587537,5.773329832770682,129.8748976342847
OAT_Manure,6542.63,1500.0,5366.026407542282,0.14563381681587537,4.527457598632684,129.8748976342847
OAT_Manure,10901.81,1500.0,5376.232930565762,0.14563381681587537,5.916945787714683,129.8748976342847
OAT_Manure,12422.24,1500.0,5379.792844081741,0.14563381681587537,6.4015826981716835,129.8748976342847
OAT_Manure,10297.61,1500.0,5374.818265144561,0.14563381681587537,5.724357098134683,129.8748976342847
OAT_Manure,13948.2,1500.0,5383.365705462302,0.14563381681587537,6.887982295575684,129.8748976342847
